,Emotion,processed_message
1955,fear,lov tak peopl smil way childr giggl gorg way littl on mov clos mom strangers smil scar way teen boist ful lif hop love take people smile way children giggle gorgeous way little ones move closer moms strangers smile scar way teenagers boisterous full life hop
1956,joy,real comfort really comfortable
1957,sadness,hop someth mag hap today kind listless hope something magical happen today kind listless
1958,sadness,know get energy frombut slight sham moody slept wel enough know get energy frombut slightly sham moody sleep well enough
1959,joy,lik man everyday respect day wel manager everyday respect day well
1960,sadness,lik miss young act would much cont go outsid rid bik miss younger active would much content go outside ride bike
1961,joy,want least intellig believ becom wel read person help want least intelligent believe become well read person help
1962,love,read loy subscrib nee inform gre butterf market real tak rid bank chunky commit reader loyal subscriber need inform great butterfly market really take ride bank chunky commission
1963,anger,study visit chick fact butchery study visit chicken factory butchery
1964,sadness,hurt com mad unimport lik want dat many wom hurt comment make unimportant want date many women
1965,fear,complet helpless anyth help affect tornado hav completely helpless anything help affect tornadoes hav
1966,sadness,cop regret cop regretful
1967,joy,thank rel bookmark day thank post href http babychas thankful rel bookmark days thankful post href http babychaser
1968,sadness,rememb mom lost hopeless young remember moments lose hopeless younger
1969,love,mad sur go sint lik comply make sure go since compliment
1970,joy,writ happy child write happy childish
1971,sadness,mad stupid mistak say fin next day last tim headmast pun serv mak pun hard enough make stupid mistake say fine next day last time headmaster punish serve make punish hard enough
1972,love,lik held firm lov arm surround wid circ peopl going let fal hold firmly love arm surround wide circle people go let fall
1973,love,particul nostalg day particularly nostalgic day
1974,sadness,disillud disillusion
1975,fear,press pressure
1976,joy,il thirty next year posit lif cho mak thing put world ill thirty next year positive life choices make things put world
1977,joy,cre mind bring divers new think job creative mind bring diversity new think job
1978,love,naughty ratbagx naughty ratbagx
1979,joy,guar dizzy lik going vomit month going pleas person guarantee dizzy go vomit months go pleasant person
1980,joy,smil peopl smil back tel littl che see jol morn smile people smile back tell little cheer see jolly morning
1981,sadness,us walk neighb hang work shop kind got unwelcom use walk neighbor hang work shop kind get unwelcome
1982,joy,satisfy necess forget pain felt satisfy necessarily forget pain felt
1983,sadness,said ear ign ev sint baby cam get back norm at giv wel say earlier ignore ever since baby come get back normal attention give well
1984,love,stil look good caus pass volunt last year friend introduc org pack food rat needy famy still look good cause passionate volunteer last year friend introduce organization pack food ration needy families
1985,love,littl tend wood work little tender wood work
1986,anger,sud insult typ suddenly insult type
1987,sadness,depress lik would neg influ big broth depress would negative influential big brother
1988,joy,try go hop next tim brav scal good day see nic numb try go hopefully next time brave scale good days see nicer number
1989,sadness,help bit mis help bite miserable
1990,fear,walk conv classroom sens assault stuff wal hang ceil cov surfac walk conventional classroom sense assault stuff wall hang ceiling cover surface
1991,joy,clev don clever do
1992,sadness,walk entir grocery stor without lik going giv ach hap oft anym walk entire grocery store without go give ache happen often anymore
1993,joy,imdo good almost strange carefr imdoing good almost strange carefree
1994,fear,could already diff strength techn class three class start find bal though stil pretty shaky busy could already difference strength technique class three class start find balance though still pretty shaky business
1995,sadness,low felt low suck low felt low suck
1996,joy,absolv lov skinny fib wond fab absolutely love skinny fiber wonder fabulous
1997,surprise,strange cathol vortex strange catholic vortex
1998,surprise,many surpr learn near year tim say goodby guid entertain many surprise learn nearly years time say goodbye guide entertain
1999,joy,connect famy lov much bless find famy connect many diff level connect families love much bless find family connect many different level
2000,sadness,provid din alcohol plac crash got return complet unwelcom apart provide dinner alcohol place crash get return completely unwelcome apartment
2001,anger,goddamn piss goddamn piss
2002,fear,sign petit know serv next day left vuln uns react sign petition know serve next days leave vulnerable unsure reaction
2003,anger,lik get easy distract mak thing switch around many diff project throughout week get easily distract make things switch around many different project throughout week
2004,sadness,many kid many strength would sufficy wif would burd many kid many strength would sufficient wife would burden
2005,sadness,knew yesterday get cold morn terr know yesterday get cold morning terrible
2006,surprise,shock becom old shock become old
2007,joy,hat way mom dad hat neglect nee intellig child ramp par styl hate way mom dad hate neglect need intelligent child rampant parent style
2008,sadness,helpless could explain helpless could explain
2009,anger,tort href http lawrencewashington torture href http lawrencewashington
2010,sadness,fuck coat real stil lik know rock swag look littl lam try whatev though fuck coat really still know rock swag look little lame try whatever though
2011,fear,might nee quit sometim let fad away mak insec disturb uncomfort might need quite sometimes let fade away make insecure disturb uncomfortable
2012,love,hot both let hold onto body hes ready din told would find bet lov hes kiss lip think nee imagin ord get hot bother let hold onto body hes ready dine tell would find better lover hes kiss lips think need imagine order get
2013,joy,lik cre profess nee unpress cre outlet get inspir creative professional need unpressed creative outlet get inspire
2014,joy,increas hop increasingly hopeful
2015,surprise,walk bet understand going expery also littl stun on equ describ walk better understand go experiment also little stun one equation describe
2016,joy,cre best rath stud deadlin meet creative best rather student deadline meet
2017,sadness,lik quit rugby ign quit rugby ignore
2018,anger,start res overwhelm sur sign nee moth start resentful overwhelm sure sign need mother
2019,fear,sit boob hang uncomfort sit boob hang uncomfortable
2020,sadness,overwhelm deep heart hurt lik empty ach start chest spreads soul overwhelm deep heart hurt empty ache start chest spread soul
2021,joy,ass right answ assure right answer
2022,joy,ok bless pronount upon real accord faith ok bless pronounce upon realize accordance faithfulness
2023,fear,describ hap shaky describe happen shaky
2024,joy,struggling lat whenev lik say someth react oh jul clev witty struggle lately whenever say something reaction oh julia clever witty
2025,joy,il honest almost reliev first found get book publ ill honest almost relieve first find get book publish
2026,joy,want say though play real vit rol anyon lif exceiv on friend want say though play really vital role anyones life exception one friend
2027,sadness,learn sil crush pain want unlov learn silent crush pain want unloved
2028,anger,petty post complaint right lik kidnap year old forc mak east crem eg rest lif petty post complaints right kidnap years old force make easter creme egg rest life
2029,joy,triumph prid stand count lik achiev high level mal hon fem redhead boot triumphant pride stand counter achieve high level male honor female redhead boot
2030,anger,jeal sumthg tat thk jealous sumthg tat thk
2031,sadness,us day night sometim fac real dirty il us img height id irc mi src http c use day night sometimes face really dirty ill use img height id irc mi src http c
2032,joy,energy joy sweet enthusiasm lif energy joyful sweet enthusiasm life
2033,sadness,lov list cuddl list cuddl thing bit listless lover listener cuddle listen cuddle thing bite listless
2034,sadness,quit stressed wond would abl look bb run going quite stress wonder would able look bb run go
2035,fear,think poss mayb deny mayb op whol poss mayb real poss giv man men pow mak shak leath sand think possible maybe deny maybe open whole possibility maybe realise possible give man men power make shake leather sandals
2036,love,want shar wond org extrem pass want share wonderful organization extremely passionate
2037,fear,hopeless restless hopelessly restless
2038,joy,less intellig watch less intelligent watch
2039,joy,lik get away friend tasty good seem abound sant cruz includ unseen amby pot smok alway mak lazy swear visit laid back town visit univers univers californ sant cruz renown href http www get away friendly tasty goodness seem abound santa cruz include unseen ambient pot smoke always make lazy swear visit lay back town visit university university california santa cruz renowned href http www
2040,joy,spec amp bless car amp cre famy special amp bless care amp creative family
2041,joy,lov lot diff kind sport lov hang friend fre tim also unhealthy sess grey anatom ecst ty love lot different kinds sport love hang friends free time also unhealthy session grey anatomy ecstatic ty
2042,fear,strange effect strange effect
2043,anger,loath gam said molyneux ad mak insult loathe gamer say molyneux add make insult
2044,surprise,rememb lik enthral act remember enthral actually
2045,joy,confid issu regard highest sens urg confident issue regard highest sense urgency
2046,sadness,lik also going upload poetry lam stuff lem know guy lik also go upload poetry lame stuff lem know guy
2047,sadness,hop on ungr cas hope one ungrateful case
2048,joy,struggle get anxy instead much determin success struggle get anxious instead much determine succeed
2049,fear,littl uncertain skil birthday party aren little uncertain skills birthday party arena
2050,sadness,pain com repres ungr cli pain come represent ungrateful clients
2051,joy,sery lov someon tre disregard faith loy seriously love someone treat disregard faithful loyal
2052,sadness,needy cagey wait leav pract new self old set needy cagey wait leave practice new self old settings
2053,joy,got eyebrow wax day glam get eyebrows wax day glamorous
2054,sadness,incred dam way behav toward prep tre way anyon els incredibly damage way behave towards prepare treat way anyone else
2055,joy,continu struggle expery norm sens chip away precy tim continue struggle experience normal sense chip away precious time
2056,joy,lik garb day allergy glad last minut cancel garbage day allergies glad last minute cancel
2057,joy,nev popul never popular
2058,love,want happy lov want happy love
2059,fear,cyc country cycle country
2060,joy,knew quak annount quit excit absolv wond period fortnight noth much hap brain know quaker announce quite excitedly absolutely wonderful period fortnight nothing much happen brain
2061,sadness,lik lost duck expery lif ag soul fast phys ag many understood lose duck experience life age soul faster physical age many understand
2062,sadness,absolv shitty absolutely shitty
2063,surprise,read pleas surpr find read list contain four simil book fin chant comp contrast diff read pleasantly surprise find read list contain four similar book fine chance compare contrast differ
2064,love,believ bas gree noth belov country believe base greed nothing beloved country
2065,fear,terr anxy excit apprehend among mil thing terrify anxious excite apprehensive among million things
2066,anger,start dissatisfy eas conveny start dissatisfy ease convenience
2067,anger,felt disgust dirty felt disgust dirty
2068,sadness,watch episod quant leap rec show alway lov sud struck today exact unfortun miss show focus charact nam dr watch episodes quantum leap recently show always love suddenly strike today exactly unfortunate miss show focus character name dr
2069,sadness,sorry leav behind sorry leave behind
2070,joy,nev ecst bount anxy never ecstatic bouncy anxious
2071,love,acceiv accept
2072,joy,id lov hear handl typ situ wel story fre shar id love hear handle type situations well stories free share
2073,love,ide could littl lov hop week hop bless kleinkind idea could little love hope week hop bless kleinkinders
2074,joy,month med fantast months medication fantastic
2075,fear,press desk due pil task wait oft pack go writ quiet corn bedroom liv room kitch pressure desk due pile task wait often pack go write quiet corner bedroom live room kitchen
2076,sadness,lik littl boy sens valu perpet doom keep break valu lif little boy sense value perpetually doom keep break valuable life
2077,love,us wak horny sometim fin got use wake horny sometimes finish get
2078,sadness,id got past whol oh gawd humy humy id get past whole oh gawd humiliate humiliate
2079,sadness,messy room messy room
2080,sadness,mis wish dead miserable wish dead
2081,sadness,real apprecy ev thought christian typ pray welcom lost really appreciate even think christian type prayers welcome lose
2082,anger,frust read chapt frustrate read chapters
2083,sadness,sometim inadequ moth lik fail stil second guess par skil sometimes inadequate mother fail still second guess parent skills
2084,sadness,lik beat am footbal run london bus beat american footballer run london bus
2085,joy,lov com fre love comment free
2086,sadness,alon crazy disheart alone crazy dishearten
2087,sadness,hopeless bor hopeless bore
2088,sadness,man put stop thing left regret mis everyday manage put stop things leave regretful miserable everyday
2089,love,lead admir self leader admire selfish
2090,anger,extremem bitchy today don someth nev don year lif extrememly bitchy today do something never do years life
2091,anger,piss lik sleep piss sleep
2092,sadness,felt ov hop last week lik resign wait next week pot long felt overly hopeful last week resign wait next week potentially longer
2093,sadness,said lik verg messy say verge messy
2094,joy,boyfriend last told lov gav impuls kiss boyfriend last tell love give impulsive kiss
2095,fear,indulg work forget tim trust peopl easy restless work fin indulge work forget time trust people easily restless work finish
2096,anger,grumpy grumpy
2097,sadness,suppos writ emerg emot urg us sens dark suppose write emerge emotional urgency usually sense darkness
2098,joy,could look coordin cav adv decid find tibr direct could look coordinate cave adventurous decide find tibris directions
2099,joy,discuss ev belov anyon discuss even beloved anyone
2100,surprise,man tak photo today outfit rath strange espec tak long tim manage take photos today outfit rather strange especially take long time
2101,love,pass issu want see oth becom pass blog hop becom fun spit much work goe along passionate issue want see others become passionate blog hop become fun spite much work go along
2102,joy,lik opportun becom smart embrac knowledg real learn everyth daydream learn opportunity become smart embrace knowledge really learn everything daydream learn
2103,anger,stressed get upset stress get upset
2104,joy,lik peopl brav enough speak non standard self publ market auth know work damn hard deserv bet people brave enough speak non standards self publish market author know work damn hard deserve better
2105,joy,got fearless art tim think on believ get fearless artist time think one believe
2106,sadness,disturb today disturb today
2107,surprise,lik weird dreamworld absolv anyth weird dreamworld absolutely anything
2108,sadness,sad sad
2109,joy,suspect also deal caffein withdraw think fig system eat work wel fab suspect also deal caffeine withdrawal think figure system eat work well fab
2110,surprise,real weird really weird
2111,anger,irrit miss direct instruct mast lee nev pass cas admit body lik nee rest irritate miss direct instruction master lee never pass casually admit body need rest
2112,joy,honest heart faith yo girl honestly heart faithful yo girl
2113,sadness,got morn heavy burd heart bit disco quest god certain thing stil clear get morning heavy burden heart bite discourage question god certain things still clear
2114,joy,want everyon mat lifestyl littl bit glam want everyone matter lifestyle little bite glamorous
2115,love,attach lov toward miss get homesick attach love toward miss get homesick
2116,joy,going sort handheld cam lol delight go sort handheld cam lol delight
2117,joy,lik complet satisfy result completely satisfy result
2118,fear,tort sick exact way felt last day lant leav torture sicken exactly way felt last day lance leave
2119,surprise,kind lay disappear arm play comput got turn eat din way adject sud wierd coll chest felt lik bount elect shock someth left paw kind lay disappear arm play computer get turn eat dinner way adjectives sudden wierd collar chest felt bounce electricity shock something leave paw
2120,joy,lik valu colleg year wast dai routin valuable college years waste daily routine
2121,fear,get peopl think indecid child entir tru degr show anyway get people think indecisive childish entirely true degree show anyway
2122,joy,sleep last night howev wok splendid sniffl itchy throat sur could awak sleep last night however wake splendid sniffle itchy throat sure could awake
2123,anger,kept enr keep enrage
2124,fear,think soon bet wel greg already distress mood mom think sooner better well greg already distress mood mom
2125,joy,mellow ev mellow even
2126,sadness,awkward speak nat awkward speak native
2127,sadness,reject abandon speak volum expand self wor reject abandon speak volumes expansion self worth
2128,sadness,regret apolog regretful apologise
2129,joy,much lov moth apprecy don much love mother appreciative do
2130,anger,damn tir littl grouchy damn tire little grouchy
2131,joy,cont reliev scen mind content relieve scene mind
2132,love,think on asset mak guy stand band mus espec latest record hit next level acceiv many genr espec hardc scen think one asset make guy stand band musicianship especially latest record hit next level accept many genres especially hardcore scene
2133,sadness,imagin wom breast clin unfortun someth lik hap imagine woman breast clinic unfortunate something happen
2134,sadness,tri answ gen could struggling work lat pretty moros try answer generally could struggle work lately pretty morose
2135,joy,may reliev satisfy prob fun may relieve satisfy probably fun
2136,anger,lik way would less both way would less bother
2137,sadness,help ug help ugly
2138,joy,quest wond jubl question wonder jubilant
2139,joy,may resurrect gen lengthy sery hist celebr crush may resurrect generous lengthy series history celebrity crush
2140,surprise,old enough gradu yk lik yesterday find bit stun old enough graduation yk yesterday find bite stun
2141,sadness,wond alon fact abl ident destruct behavy yet doom rep wonder alone fact able identify destructive behaviors yet doom repeat
2142,joy,smal peopl think amaz bath suit small people think amaze bath suit
2143,sadness,fath childr kil accid father children kill accident
2144,sadness,bad anyon ev watch gam bad anyone ever watch game
2145,love,want year long lov warm tingl octob bring want year long lovely warm tingle october bring
2146,anger,stubborn strong ready fight diseas stubborn strong ready fight disease
2147,anger,cold said rachel cold say rachel
2148,joy,littl movy star tear com way reliev little movie star tear come way relieve
2149,surprise,moth though day stil strange real on mother though days still strange realize one
2150,anger,littl jeal peopl sit coff shop leis lik morn little jealous people sit coffee shop leisurely morning
2151,love,lik devot many thing tim split weird devote many things time split weirdly
2152,love,sam angsty headspac jens voic sing bon jov mak horny hel sams angsty headspace jensens voice sing bon jovi make horny hell
2153,anger,ment cranky mention cranky
2154,sadness,wond moth law every way lik moth year oft end bit melancho moth day wonderful mother law every way mother years often end bite melancholy mother day
2155,anger,sur yet seem kind distract decid wed giv end week prov us sure yet seem kind distract decide wed give end week prove us
2156,sadness,know long tim pathet way know long time pathetic way
2157,anger,defin chang refus impaty definately change refuse impatient
2158,joy,post lik sup mom man car childr fiant hous on day work littl sleep post super mom manage care children fiance house one day work little sleep
2159,sadness,worthless let hap worthless let happen
2160,fear,bit comfort zon tad apprehend bite comfort zone tad apprehensive
2161,joy,lik smel pretty us smell pretty use
2162,love,lik tot pushov mom anyon know know pushov gen wil giv benefit doubt pushov total pushover moment anyone know know pushover generous will give benefit doubt pushover
2163,fear,could sens uncomfort cam del let wil attribut weird rom vuln could sense uncomfortable come deliver letter will attribute weird romantic vulnerable
2164,joy,long happy scor wel longer happy score well
2165,joy,comfort wat comfortable water
2166,joy,pol us pair pric stat review two pol pole useful pair price stats review two pole
2167,joy,grand plan bak two day most end curl couch pout wel grand plan bake two days mostly end curl couch pout well
2168,sadness,could bring blog right away most absolv humy heart brok could bring blog right away mostly absolutely humiliate heart break
2169,sadness,pain peopl mak kind stat pain people make kind statement
2170,fear,lik paranoid annoy real would talk anyon way paranoid annoyance reality would talk anyone way
2171,joy,saw famy sep on year saw family separation one year
2172,anger,frust impaty frustrate impatient
2173,sadness,left plac heartbrok leave place heartbroken
2174,sadness,bit devast real thought rel would wor bite devastate really think relationship would worth
2175,anger,say thing want agr rud say things want agree rude
2176,sadness,real went cut unfortun brok heart really go cut unfortunate break hearted
2177,anger,quit mad quite mad
2178,sadness,try catch bus explain bit dumb try catch bus explain bite dumb
2179,fear,lik shy much tak moth describ shy much take mother describe
2180,surprise,real amaz really amaze
2181,sadness,believ luck luck sid beat sometim upset believe luck luck side beat sometimes upset
2182,joy,real ok really ok
2183,joy,got chat rusty dean hometown moos jaw everyon mad welcom comfort get chat rustie dean hometown moose jaw everyone make welcome comfortable
2184,joy,act lik everyth going ok actually everything go ok
2185,anger,envy preg co work envious pregant co workers
2186,sadness,pub instead stay hom moros depress pub instead stay home morose depress
2187,joy,stay awak whol night energet stuff stay awake whole night energetic stuff
2188,sadness,help sorry help sorry
2189,joy,fool play reliev fool play relieve
2190,joy,stun eleg tonight darl stunningly elegant tonight darling
2191,sadness,lam help shak fear lik fail samuel afraid lame help shake fear fail samuel afraid
2192,fear,wok distraught aw someth terr hap soon wake distraught aware something terrible happen soon
2193,sadness,howev ting regret know dam abl breast fee however tinge regret know damage abilities breast fee
2194,joy,hes quit belov broth hes quite beloved brother
2195,surprise,stil bit stun expery tonight watch movy still bite stun experience tonight watch movie
2196,joy,look forward continu challeng apprecy boost get nutrit healthy track espec pregn import tim lif eat healthy look forward continue challenge appreciative boost get nutrition healthy track especially pregnancy important time life eat healthy
2197,love,decid ex real strong wheth lov extremley car friend ev blow fac decide exes real strong whether love extremley care friends eventually blow face
2198,joy,lov slight cat ey shap lens inst mak likeaudrey hepburn breakfast tiffany glam cours gorg cas hurt eith love slight cat eye shape lenses instantly make likeaudrey hepburn breakfast tiffanys glamorous course gorgeous case hurt either
2199,fear,stop learn inhibit perform flound stop learn inhibit performance flounder
2200,anger,wrong lucky man control complain talk bad friend eith onlin facebook offlin person wrong luckily manage control complain talk bad friend either online facebook offline person
2201,sadness,get weepy sometim get res get weepy sometimes get resentful
2202,joy,want leav thank par trust spend night mad lik respect want leave thank parent trust spend night make respect
2203,joy,list peac happy could us big dos liv listen peaceful happy could use big dose live
2204,joy,amo beauty job retrofit coh song real bas arrang piano work lik art effort mer pay hom amos beautiful job retrofit cohens song really basic arrangement piano work artistic effort merely pay homage
2205,anger,classroom extrem dang classroom extremely dangerous
2206,sadness,restart gallery vain gorg tim restart gallery vain gorgeous time
2207,sadness,nee find way get yet hopeless need find way get yet hopeless
2208,anger,end get unw at boy want littl il sort start someth boy find flirty oth pres il real insint around boy lik end get unwanted attention boys want little ill sort start something boy find flirtiing others presence ill really insincere around boys
2209,fear,read sev pag stil uns wast tim eng main argu read several page still unsure waste time engage main argument
2210,sadness,though rest year jad due lov first though rest year jade due love first
2211,anger,friend sometim insult around friend sometime insult around
2212,sadness,inhibit pract publ sess comp lesson ic tim good ic tim inhibit practice public sessions compare lessons ice time good ice time
2213,sadness,fal victim inadequ anywh short perfect set expect perceiv expect oth fall victim inadequate anywhere short perfection set expectations perceive expectations others
2214,anger,tort emo poetry com already torture emo poetry come already
2215,joy,want spec guest al jeremy chos want special guests alise jeremy choose
2216,surprise,overwhelm dai respons expect famy job demand tim phys tir burd overtak fin hard overwhelm daily responsibilities expectations family job demand time physical tiredness burden overtake financial hardships
2217,sadness,us stil mak empty use still make empty
2218,fear,strangely indecid also real believ strangely indecisive also really believe
2219,sadness,oft tim lost friend seem leav us mov away often time lose friends seem leave us move away
2220,fear,want writ mak frant induc nightl spee want write make frantic induce nightlife speed
2221,fear,lov long sum ev shoot clock press short daylight hour wint provid love long summer even shoot clock pressure short daylight hours winter provide
2222,fear,admit thought go head doubt tim coz scar admit thoughts go head doubtful time coz scar
2223,sadness,drain yet excit new journey drain yet excite new journey
2224,joy,eag leap stash fabr mak someth eager leap stash fabric make something
2225,love,nee lik acceiv mat lov need accept matter love
2226,joy,absolv saf absolutely safe
2227,joy,hono lucky get post card honour luckily get post card
2228,sadness,terr snap terrible snap
2229,anger,went lect cancel go lecture cancel
2230,anger,spit somebody vicy kind disrespect said spit somebody vicious kind disrespect say
2231,anger,tru ir truly irate
2232,surprise,beg cury tri perciev benea prid begin curious try percieve beneath pride
2233,joy,satisfy perform car satisfy performance car
2234,surprise,overwhelm impress think kid year young cal kid right overwhelm impress think kid years younger call kid right
2235,fear,drank cup coff nerv weird drink cup coffee nervous weird
2236,joy,got real crunk situ lik writ calm lol get really crunk situation write calm lol
2237,anger,foc injust ang ris frust know chang thing focus injustice anger rise frustrate know change things
2238,sadness,aw work sum fin going abl get real rest put feet awful work summer finally go able get real rest put feet
2239,fear,tak mg seroquel eith restless leg syndrom keep awak night take mg seroquel either restless leg syndrome keep awake night
2240,joy,hop seem lik good tim switch doct hopeful seem good time switch doctor
2241,fear,real count numb tim cri overwhelm someon express concern fact think really count number time cry overwhelm someone expression concern fact think
2242,joy,mon going damn cool thing stor month go damn cool things store
2243,love,bless privileg known lov know alway child bless privilege know love know always child
2244,sadness,lik devast devastate
2245,sadness,struggled com interest titl blogpost lipbalm peopl would consid bor subs struggle come interest title blogpost lipbalms people would consider bore subje
2246,sadness,homesick good remind bless real homesick good reminder bless really
2247,sadness,real sound surpr lik every person sit wish lik mud wrestl someth bit out rath dul dar say av realise sound surprisingly every person site wish mud wrestle something bite outrageous rather dull dare say average
2248,surprise,amaz imagin would get amaze imagine would get
2249,sadness,ungr complain also che sit quiet ungrateful complain also cheat sit quietly
2250,joy,ask folk park smart park inch sep car on front behind ask folks park smart park inch separate car one front behind
2251,joy,pres two photo sid sid on photo rememb cut day present two photos side side one photo remember cute day
2252,sadness,could answ stupid quest could answer stupid question
2253,joy,answ quest pretty trust part answer question pretty trust part
2254,joy,voc think convint let anyon walk let opin mat vocal think convince let anyone walk let opinion matter
2255,fear,heard many tim discuss uncertain fut many peopl convers blend togeth hear many time discuss uncertain future many people conversations blend together
2256,joy,plod tak far long rath virtu plod take far long rather virtuous
2257,love,lik real gentl hand record process really gentle hand record process
2258,anger,com back program three girl stay anoth girl placc on start pass nasty outright bitchy remark brought mal colleagu comply come back programme three girls stay another girls placce one start pass nasty outright bitchy remark bring male colleagues compliment
2259,fear,poison tort room poison torture room
2260,joy,lik fin posit decid wheth indulg joy jubl claim fre chocol bar finally position decide whether indulge joyful jubilations claim free chocolate bar
2261,sadness,suck lot keep hous cle yet twitchy messy suck lot keep house clean yet twitchy messy
2262,anger,sur org best int though disagr whol heart get demost slight hostil stud sure organisation best intentions though disagree whole heartedly get demostrators slightly hostile students
2263,sadness,know heart ach sad loss good kind peopl connect loss href http know hearts ache sadness loss good kind people connect losses href http
2264,love,lik ment fond damn shapeshift first plac mention fond damn shapeshifter first place
2265,joy,smel going pleas smell go pleasant
2266,joy,lik ought work cas act constru someth pot stressful upd tomorrow ought work casual activism construe something potentially stressful update tomorrow
2267,surprise,sur buy hubby pretty impress sure buy hubby pretty impress
2268,anger,must littl cranky must little cranky
2269,sadness,get lucky oft thing work benefit tim acceiv unfortun get lucky often things work benefit time accept unfortunate
2270,joy,real least tal person stag somehow god us tal glory really least talented person stage somehow god use talent glory
2271,joy,resolv soon enough dam effect hard work girlfriend put rel resolve soon enough damage effect hard work girlfriend put relationship
2272,joy,rich indee rich indeed
2273,sadness,heartbrok most daught adjust new dayc cent heartbroken mostly daughter adjust new daycare center
2274,joy,guess good new calm think nee get chest guess good news calm think need get chest
2275,love,busy bask fab overwhelm real noth liv lif cat would car sleep eat busy bask fabulous overwhelm really nothing live life cat would care sleep eat
2276,anger,bitchy talk way ahah sound less retard tel story person swear said boy would fal lov bitchy talk way ahaha sound less retard tell story person swear say boy would fall love
2277,joy,thing learn cours us right things learn course useful right
2278,joy,rememb calm eas ev though minut good light felt confid determin get best poss shot mad diff world remember calm ease even though minutes good light felt confidence determination get best possible shots make difference world
2279,anger,nev fuck week us gre acct think wonderful tim weekend img src http israel never fuck week use great acctually think wonderfull time weekend img src http israel
2280,anger,hat giv friend wom coupl oth reason admit def let husband mak insec nee avoid cut lif sec challeng hateful give friendship woman couple others reason admit defeat let husband make insecure need avoid cut life securities challenge
2281,sadness,dul easy diff rul absolv sev turn quick easy casserol fantast rel group meal loc hal pitch in picn address luncheon etc dull easily difference rule absolutely several turn quick easy casserole fantastic relate group meals local hall pitch ins picnic address luncheons etc
2282,love,want slutty want slutty
2283,sadness,sorry see par sorry see parent
2284,joy,wish gain respons plan ev wel commit wishful gain responsibility plan event well commitment
2285,joy,enjoy belong sens recogn somehow valu enjoy belong sense recognise somehow valuable
2286,anger,honest say every good thing lif right crash stubborn ask help honestly say every good thing life right crash stubborn ask help
2287,joy,tir fab freak proud mom continu push train get far comfort zon tire fabulous freak proud moment continue push train get far comfort zone
2288,joy,act hop today actually hopeful today
2289,sadness,thought exhaust emot held frust confus stil much giv much look blank whit piec pap want fil colo mot stil seem blank think exhaust emotions hold frustration confusion still much give much look blank white piece paper want fill colour motion still seem blank
2290,love,lik job wor car shifty job worth care shifty
2291,love,touch sweet hand touch sweet hand
2292,joy,understand extrem posit attribut overshadow weak subconscy peopl wir supery oth thereby tre diff understand extremely positive attribute overshadow weakness subconsciously people wire superior others thereby treat differently
2293,anger,heartless heart hurt stil much pain heartless heart hurt still much pain
2294,joy,espec interest hear thought perspect read men wom respect liv especially interest hear thoughts perspective read men women respect live
2295,joy,lik held back lot sum socc mom trust hold back lot summer soccer mom trust
2296,surprise,rememb surpr opt list remember surprise option listen
2297,sadness,reject must meas reject must measure
2298,sadness,lik hous const dirty tru hat cle espec tir house constantly dirty truly hate clean especially tire
2299,joy,leav nurs hom week joy ready com back leave nurse home week joyful ready come back
2300,anger,agit sort lost agitate sort lose
2301,sadness,stil contract slight def still contractions slightly defeat
2302,anger,know person offend many level know personally offend many level
2303,sadness,high doubt would see young jean scot consid would limit reason act fut movy sint annount mov ao next feat lik miss opportun highly doubt would see young jean scott consider would limit reason actors future movies since announce move aoa next feature miss opportunity
2304,joy,going go ant dant flow eag sint il mat anyhow might ev circuit grow spin go go anti dance flow eager since ill mat anyhow might even circuit grow spine
2305,joy,lov yesterday brought tear ey hear say today real spec surround lov love yesterday bring tear eye hear say today realize special surround love
2306,joy,sery quest ok support healthc plan trampl anoth believ serious question ok support healthcare plan trample anothers beliefs
2307,joy,explain tru word encaps ness cur ecst happy bount reliev energ mood dant want chocol want soc right smiley los word express bah emo explain truly word encapsulate ness currently ecstatic happy bouncy relieve energise mood dance want chocolate want socialise right smiley lose word express bah emo
2308,sadness,reject someon part reject reject someone part reject
2309,fear,soc anxy around lady socially anxious around ladies
2310,joy,watch firef ser lat id giv mix seem quit popul watch firefly serenity lately id give mix seem quite popular
2311,sadness,senty going miss colleg thrilled new upcom adv sentimental go miss college thrill new upcoming adventure
2312,sadness,chines mum chines sist spent two import year lif chin someon know convers lik on pretty hopeless pow educ chinese mum chinese sisters spend two important years life china someone know conversation one pretty hopeless power education
2313,anger,try put light going fest grow bit dark try put light go fester grow bitter dark
2314,anger,mom desp much don mom despise much do
2315,joy,help cre rich text touch mystery outfit help create rich texture touch mystery outfit
2316,joy,strong healthy mot overal posit everyth strong healthy motivate overall positive everything
2317,sadness,unimport today unimportant today
2318,fear,agit part think fin man keep emot check agitate part think finally manage keep emotions check
2319,sadness,know pretty pun right know pretty punish right
2320,sadness,complet empty detach depress completely empty detach depress
2321,anger,abl squeez run two week real cranky letharg able squeeze run two weeks really cranky lethargic
2322,fear,think told dad skept us think tell dad skeptical us
2323,anger,someon wrong wrong get ril act find offend unsheath sword good lord bet look someone wrong wrong get rile action find offensive unsheathe sword good lord better look
2324,anger,wok emot drain anxy immedy defens ris irrit story lif wake emotionally drain anxious immediately defenses rise irritate story life
2325,joy,achiev spec athlet goal pretty fin form achieve specific athletic goal pretty fine form
